corrected_comment,rating,sentiment
Xài ok?,4,1
"Đi xài cũng được lâu lâu, hơi bị đơ, đang gọi điện, màn hình tắt không mở lên được luôn.",3,0
Hàng rất tốt sẽ làm tôi rất hài lòng.,5,1
"Rất tận tình, chu đáo!",5,1
"Máy nhanh mượt, màn hình đẹp.Điểm Antutu benmark rất cao.Mua màu trắng sữa đẹp. Phát nhạc Bluetooth ra amply hay.Apple Music có chế độ nghe nhạc lossless. FaceID nhanh.Game mượt.IOS 15 pin tốt.Sạc nhanh.",5,1
Sản phẩm tốt.,5,1
Good !,5,1
"Mới mua hôm qua, màu trắng 64g đẹp mà nhân viên thế giới Di Động tại thị xã kiến tường rất nhiệt tình nữa.",5,1
"Đã dùng sản phẩm này được 1,5 tháng nhưng pin vẫn 100%. Tiếc là lên 15.5 máy hay bị nóng.. .Nhưng vẫn đánh giá 5***. Thấy máy dùng khá ổn.",5,1
Đã dùng được một năm rồi.,5,1
"Điện thoại xài khá ok, dù ai chê cũng mê.",5,1
"Phù hợp túi tiền, hàng chính hãng.",4,1
Có bảo hành khán nước ko dị ích?,4,1
"Mình mới mua được 20 ngày, thấy dùng rất ok.",4,1
Rất mượt mà chơi tốt trong tầm giá.,5,1
"Máy bị lổi mic gởi bảo hành, nói không lổi trôi về không dùng được.",1,0
ok?,5,1
Thái độ phục vụ rất tốt.,4,1
Pin tuột nhanh!,3,0
"Hiện tại, máy dùng thích.",5,1
Hàng dùng ok ạ.,5,1
Hien dang rat tot .,4,1
Ok !,4,1
Máy dùng ổn cảm ơn TGDĐ.,5,1
Rất hài lòng.,4,1
Ok !,5,1
Tốt .,5,1
"Sử dụng nhanh, chất lượng tốt.",4,1
Tôi hài lòng với sản phẩm và sự nhiệt tình của nhân viên bán hàng.,4,1
Rất tốt.,5,1
May. Dep. Sai. Ok. Nhan. Vien. Nhiet. Tinh.,4,1
"Máy rất nóng khi sạc và xem YouTube, chơi game ..",4,1
Trải nghiệm tốt.,4,1
"Phục vụ nhiệt tình, chứ đáo.",5,1
Rất tốt.,5,1
Chất lượng kém.,1,0
RẤT hài lòng với sản phẩm và dịch vụ của TGDD (?).,4,1
"Mua xong, hôm sau có người gọi điện bảo sẽ mang tới nhà tặng phiếu gì đó mà tới nay gần tháng cũng không thấy?",4,1
Sản phẩm dùng tốt lắm.,5,1
Hiện tại dùng máy rất là OK.,4,1
"Em cám ơn anh chị và các bạn nhân viên thế giới di động, số 182 - 184 đường Ngọc Lâm, Tổ 3, P. Ngọc Lâm, Q. Long Biên, Tp. Hà Nội, đã tư vấn và hỗ trợ em rất nhiệt tình.. Cực kỳ nhiệt tình luôn ạ! Lúc mới vào thì có bác bảo vệ ra mở cửa, lại còn che yên cho đỡ nắng.... Rồi chị tư vấn rất nhiệt tình, thân thiện, lúc em ra về mưa còn có bạn nhân viên chạy ra cho mượn ô đi mua áo mưa nữa, đến tận khi em về thì bạn ấy mới vào. Bản thân em đã thích cách chăm sóc khách hàng chu đáo từ TGDĐ khi mua những sản phẩm trước, dù giá trị không cao nên khi quyết định mua lớp 11, em không do dự mà chọn TGDĐ. Chúc anh chị và các bạn TGDĐ. Số 182 - 184 đường Ngọc Lâm, Tổ 3, P. Ngọc Lâm, Q. Long Biên, Tp. Hà Nội mạnh khỏe, kinh doanh tốt ạ!",5,1
"Sản phẩm tốt, máy mượt pin trâu, dùng hơn 4 tháng mà vẫn 100% pin. Nhân viên phục vụ tận tâm.",5,1
"Máy mới mua gần 3 tháng, khi call bị tè như tiếng rào rào è è trong khi ông đối diện tắt mic vẫn rè lớn, rất khó chịu nhờ kiểm tra lại dùm em.",3,0
"Máy gặp lỗi micro nghe gọi, lên gặp nhân viên K hỗ trợ, thế giới di động làm ăn chán lắm, kêu gửi hành bảo hành, gửi chắc tới lẫn mới lấy máy.",1,0
"Máy rất tốt, nhân viên TGDD phục vụ tận tình hẳn.",5,1
"Dùng 3 tháng pin trên máy báo 99% nhưng trên 3tool lại 100%, dùng vừa tay, nói chung vẫn ok.",4,1
"Gọi Mesenger qua dữ liệu đi động cứ bị lỗi, không thể gọi được. Đã thử mọi cách vẫn không được. Cần nhân viên hỗ trợ.",2,0
Sai thì thấy ok đó.,4,1
"Cảm giác loa máy rất dè. K. biết mua dùng được 30 ngày, chưa dám check thông tin giúp mình.. Nghe khá mượt bằng ip11 của mình.",3,0
"Mình mua cũng được gần 6 tháng, sạc siêu nhanh luôn, đến giờ pin của mình vẫn 100cm, mình làm rơi nhiều lần r cứ sợ hư nhưng mà thật sự thì rất bền, không hề trầy hay gì hết. Pin mình đủ dùng 1 ngày, thấy có nhiều bạn chê này kia nhưng thực sự đối với mình nó quá tốt, mình từ Androind chuyển qua iOS cảm thấy dễ xài và mê luôn rí, mượt kinh khủng, chụp hình cũng rất đẹp .Mình mua trong mùa dịch nên mua online, nhân viên của TGDĐ thì khỏi nói rồi vô cùng tận tâm luôn, hướng dẫn mình rất kĩ, giải thích mọi thắc mắc của mình. 100 điểm .",5,1
Mới mua khi sáng dùng thấy ổn phết()..,4,1
Tôi mua điện thoại mới từ cuối tháng 1 đến nay mọi thứ vẫn bình thường. Tôi rất thích và rất hài lòng về những lợi ích mà sản phẩm mang lại cho tôi.,5,1
Máy chức năng nghe gọi kém quá.Máy mình nghe gọi có lúc bị ngắt quãng không nghe thấy gì.Máy chức năng chính mà vậy thì không ổn rồi.,3,0
Em mua điện thoại hồi tháng 2 xài đến giờ pin của nó vẫn 100% nhưng sao lượng pin có nó lại rất nhanh hết.,4,1
"Máy mua mới , sọc màng hình, mà chế độ bảo hành thì chán, mua ở đây là một sai lầm !",1,0
"Sản phẩm cài rất mượt mọi thứ, ngon lành, pin thì không hẻo như mấy dòng iPhone trước.",5,1
"Có khi sạc gần 1 tiếng được 3% pin, hay bị đứng máy.",1,0
Máy ok.,4,1
Sao D. để qua đêm tuột 8 phần % pin và anh minh đã rất hết tất cả ứng dụng ngắm tất màn hình sáng luôn?,3,0
Đột sài tốt nhân viên nhiệt tình.,5,1
Rất tốt.,5,1
"Nhân viên tiếp đón chu đáo , nhiệt tình . Cách tư vấn sản phẩm rất chuyên nghiệp nên khó định mua nhưng đã mua.",5,1
OK tốt.,5,1
Sp tốt.nv rất nhiệt tình.,5,1
Đến giờ dùng khá ổn.,4,1
Máy sử dụng ok?,3,0
Rất rốt mình đã chơi game pin rata lâu xuống.,5,1
Máy dùng khá mượt .,4,1
Tư vấn nhiệt tình tận tâm .,4,1
Hàng dùng tốt. Ưng cái bụng.,5,1
Ok !,5,1
Máy dùng rất tốt.,5,1
Bạn bán hàng tư vấn nhiệt tình lắm luôn rất dễ thương.,5,1
Rất ok.,5,1
Điện thoại ok nha mỗi người.,4,1
Máy dùng tốt.,4,1
Hàng nhái không bị lỗi.,5,1
"Sản phẩm thật tuyệt vời, đặc biệt nhân viên ở đây rất nhiệt tình và mến khách, chắc chắn sẽ có dịp mình quay trở lại đây mua hàng tiếp.",5,1
"Sản phẩm xài ok, nhân viên rất nhiệt tình.",4,1
Xuất sắc: .,5,1
Tốt chạy nuột . Mua ngay đợt giảm đúng thơm.,5,1
"Máy hiệu năng mạnh , dùng mượt , pin trâu... rất hài lòng.",5,1
Sản phẩm dùng rất tốt.,5,1
Máy dùng rất ho.,5,1
Tốt .,5,1
Rất tốt.,5,1
Thỉnh thoảng máy vẫn hơi lác .,4,1
"Máy đẹp, phục vụ nhiệt tình.",5,1
Rất tốt.,5,1
"Bảo hành quả tệ quá, chán hơn 1 tháng, còn trưa được lấy máy.",1,0
Sản phẩm tất tốt.,5,1
Dùng rất ok nha.,4,1
Sản phẩm dùng rất tốt.,5,1
"xài rất tốt, tuyệt vời trong tầm giá.",5,1
Rất đẹp.,5,1
"Cho em hỏi em mới mua đc 1 tháng mấy mà tụt pin còn 97% là sao ạ, em xài củ sạc dây sạc hàng chính hãng sau tụt pin nhanh thế ạ, 1 ngày mấy em xài 3h đến 4h hà.",3,0
"Cũng ngon. Mỗi tội chơi game chán, sạc chậm.. Tại từ Xiaomi Qua. Đc cái đa nhiệm IOS tốt hơn Adr rất nhiêu.",5,1
"Mình sử dụng tầm khoảng 3 tháng vẫn còn 100% pin. Máy mượt lắm, pin trâu nữa. Nói chung là hài lòng lắm !",5,1
"Nếu cần 1 chiếc iphone để dùng chung Ipad, Apple watch Airpod thì iphone 11 là sự lựa chọn hoàn hảo, còn nếu có sử dụng hệ sinh thái của nhà Táo thì trong tầm giá này, các máy Androi có lẽ sẽ tốt hơn về mặc trải nghiệm.",5,1
"Sau 1 tháng trải nghiệm thì mình cảm thấy như sau: • Mng thường chê màng hình của con này nhưng mình thấy nó khá ổn đấy chứ, mình từ màng amoled qua, màu sắc chỉ nhạt hơn thoi, màu đen thì đậm nữa, nhưng nó khá nét và trong.• Pin khá trâu, mình đi học onl fb zalo từ 6h sáng (78%), lúc về 5h (25%), đây là mình dùng wifi nha, còn lúc chơi game online onl tiktok bf zalo thì được khoảng hơn nữa ngày á, mình mua hơn tháng rồi vẫn còn đủ.. • Còn về phần mềm, mình từ android sang thấy IOS khá tù túng, đổi lại trải nghiệm mượt mà vẫn đáp ứng đủ nhu cầu của mình.. • Về camera thì mình cũng không phải dân chuyên nghiệp nên mình cũng hong rành, mình thấy rất tốt. HẾT RÒI.",5,1
"Sản phẩm rất tốt, mình chỉ thắc mắc đặt mình để qua đêm vẫn tuột pin 3-4% dù là tắt mạng dữ liệu, wifi, và tắt các trang dã bấm khi còn lịch sử hoạt động?",5,1
"Sau 2 tuần mình trải nghiệm sản phẩm, phải nói là cực kỳ thích em, nó luôn ý. Mình mới chuyển từ Android sang Ios nên có chút bối rối tí. Nhưng mà sản phẩm này quá tuyệt vời. Nhân viên phục vụ nhiệt tình.",5,1
"Gần tết giảm giá, đập hộp 1 em 12750k cho vợ. Nhân viên TTGT. yên mĩ rất nhiệt tình.. vote 5THS.",5,1
Rất tốt pin trâu nhân viên tư vấn nhiệt tình.,5,1
"Mới mua chưa tới 1 tháng, cứ để qua đêm là pin tụt 6-8% không biết có sao không nhỉ?",4,1
"Pin ổn! Ngoại trừ lúc ngủ thì mấy ngày tết xử dụng liên tục, chủ yếu là xem video! Máy mình ko dùng để chơi game nên cuối ngày còn >30 pin! Kiếm ốp lưng xịn chính hãng dành cho nam cho model này khá khó vào thời điểm hiện tại!",5,1
"Sản phẩm quá tốt, chất lượng phục vụ của nhân viên rất tốt, giá tiền hợp lý.",5,1
Máy dùng nhanh nóng và nhanh hết pin nha. Pin kém hơn so với các dòng trước.,3,0
"Cho mình hỏi mình mua máy về sạc lúc đầu máy luôn bị nóng, pin khoảng 80% trở lên thì máy không bị nóng nữa. Sạc mình mua chính hãng ở TPHCM luôn, mình ra cửa hàng hỏi thì nó bảo dòng pin nó như vậy, mong tư vấn giúp ạ! Mình đã đc 3 tuần rồi.",4,1
"Sản phẩm tốt, dùng rất hài lòng, và tư vấn rất nhiệt tình. Thanks tgdd.",5,1
"Tầm giá tiền lựa chọn con này rất hợp lý. Đủ dùng cơ bản các thứ. Máy mượt, ko lag như android.",4,1
Dốt mới đập hợp về xài chả ra hồn gì.,1,0
Cũng ngon. nhưng khôi phục cài đặt xong thì thấy ngon.,5,1
"Sản phẩm dùng rất oke, phụ huynh sài rất ưng ý, tư vấn nhiệt tình.",5,1
"Tôi rất hài lòng với cung cách tiếp đón và thái độ phục vụ thật ân cần và chu đáo của nhân viên công ty.. Luôn đặt lợi ích chính đáng của khách hàng lên trên hết, tạo dựng niềm tin cho khách hàng trước và sau khi mua sản phẩm tại công ty!",5,1
Mỗi lần đến mua sắm cảm giác vui.,5,1
Sao mình mới mua máy hồi nãy và tự tay bóc seal mà lại có dấu hiệu ngay chỗ dung lượng pin thế kia ? Giờ mình muốn đổi mấy?,3,0
"Máy dùng OK . Cảm ơn ace nhân viên TTgd, Gia Bình ,rất nhiệt tình, chu đáo nữa .",4,1
Sản phẩm dùng rất ok.,5,1
Mua hàng điện máy xanh dùng rất ok .,5,1
"Điện thoại iphone 11 64gb xài rất tốt, chất lượng cao, pin xài lâu . Màn hình rõ, độ sáng ok.",5,1
"Tôi rất hài lòng và yên tâm khi mua sản phẩm tại diện máy xanh, vì sản phẩm kẻ đây luôn là chính hãng.bởi vậy tôi yên tâm.!",5,1
"Điện thoại rất đáng để mua. Mát mẻ, mượt mà. Nhân viên tư vấn vui vẻ nhiệt tình! Xứng đáng 5 sao ạ!",5,1
"Máy xài tròn 1 tháng pin đủ, sạc nhanh pin trâu chơi game được 6 tiếng, xài cả ngày ko hết pin nói chung, trải nghiệm tốt chỉ về màn hình thì màu sắt xấu, nếu so với con 7plus thì màu cho ra hiển thị không đẹp, không biết do màn hình này là do dòng 11 nó vậy?",5,1
"Mua ở TGDĐ Vĩnh Kim. 4 bạn nhân viên tiếp đãi rất nhiệt tình. Máy thì ngon rồi, không có gì để chê. 5 sao!",5,1
"Máy màu đen rất đẹp, rất hài lòng với sản phẩm, nhân viên đeo bên tay kẻ mặt Bình Giang, Hải Dương rất nhiệt tình.",5,1
"Nhân viên rất nhiệt tình, máy màu xanh rất đẹp, pin trâu. Lâu dài chưa biết thế nào nhưng giờ rất vừa ý, chưa chê được cái gì.",5,1
"Màu vàng rất chi, BD.chạy mướt, chỉ có viền máy dày nhìn hơi thô.Mua được giá 13tr 5 đập hộp tạm ổn.",5,1
"Sản phẩm tốt, phục vụ nhiệt tình, quản lý chất lượng, nhân viên vui vẻ, trông em bé rất giỏi )).",5,1
"Máy lỗi pin, được đổi máy mới, nhân viên tại Lê Hồng Phong, Sóc Trăng vui vẻ, nhiệt tình.",5,1
"Nhân viên tư vấn mất nhiệt tình . Chưa xong, khách hàng này bỏ đi tư vấn khách hàng khác làm đợi, mất thời gian không tôn trọng khách hàng.",3,0
"Ban đầu có vẻ hài lòng, nhưng sau 1 tuần trải nghiệm máy mình hơi thất vọng: 24h, sạc pin 1 lần, vì mình không sử dụng nhiều, nhưng đúng 1 tuần thì đang sạc máy bắt đầu bị nóng. Trong khi mua đúng 1 tuần, giờ nói thì chắc lại bảo mình không biết cách sử dụng đất chưa đúng cách nên dẫn đến máy nóng.. (Vì mình đã thấy nhiều cái của các bạn Ctv khi khách hàng phản ánh về pin), nhưng mà mình nói lại là mình sẽ đúng 1 tuần.. Về chụp cam thường thì rất là rõ, nhưng lại khá sắc nét, thua luôn cả ipx. Mình đã sử dụng máy ipx và đã dùng cả 2 máy để so sánh độ chụp cam thường, hơi thất vọng.. Cố gắng giữ gìn máy nhất có thể mà cũng như không.. Nếu mà câu trả không chính đáng thì mình không bao giờ ghé đây lần nữa.",2,0
"Máy sài tốt, pin trâu, chụp hình xinh, nhân viên tư vấn nhiệt tình và dễ thương tại aaaaaa.",5,1
"Máy ok tốt, hàng chuẩn hợp với giá tiền, màu đẹp... Mng nên mua máy rất mượt pin cũng tạm được, pin xài khoảng 3h5.. Đến 4h máy sạc rất nhanh, khoảng 1h là đầy ra.",5,1
"Bị rớt wifi liên tục . Chán quá, thật uổng tiền mua 15.5 tr. Cân hỗ trợ từ nhân viên.",3,0
"Mình mua ở tận thị xã gò công, nhân viên rất nhiệt tình, mình mua đc vài ngày nhưng chưa ngủ dậy là mất 10% pin mặc dù tắt hết ứng dụng, vị trí, tự động cập nhật và để cả chế độ máy bay. Nhờ cửa hàng tư vấn nhé! Mình cảm ơn.",4,1
"Máy mua từ 27/10/2021 đến hôm nay chưa được 2 tháng mà xem pin đã tụt xuống còn 96% rồi, cục pin chắc có vấn đề quá.",4,1
Mình mua hàng từ 24/9 đến giờ là 25/12. Mình cảm thấy khá thất vọng về việc tình trạng pin chỉ còn 97% sao 3 tháng sử dụng.. Mặc dù không vừa sạc vừa dùng hay sạc nhiều lần trong ngày gì cả. Mình cần lời giải thích từ điện máy xanh ạ.,3,0
"Vừa mới mua hôm qua........., nay lại sụt giá nhiều vậy, buồn lòng........., về phần máy hiện tại thấy rất ok......nhân viên nhiệt tình.",4,1
"Mình mới mua đất được 3 ngày, mọi thứ đều ổn, nhưng gọi video bên zalo và mess, loa bị rè và vọng tiếng, cách khắc phục như nào ạ?",4,1
"Em mới vừa mua hôm quá, máy xài rất ok nhưng sao lúc sạc pin thì máy lại nóng quá vậy ạ?",4,1
"Mình mới mua 3 ngày mà bật thử backup không được ạ, đã reset cũng không được. Giờ mình fix làm sao lỗi này ạ.",4,1
"Cảm ơn nhân viên Quang và nhân viên duyên ty Tân Hải lại bình thuận đã tư vấn nhiệt tình, máy chạy mượt cam đẹp.",5,1
"Giao hàng nhanh, nhân viên nhiệt tình, khuyến mãi hấp dẫn.......",5,1
"Sử dụng gần 3 tháng, pin còn 98% mặc dù SV rất kĩ. Sp tệ, k nên mua uổng tiền ()).",2,0
"Máy em mới mua 2 tháng sao cứ ngủ một đêm sáng dậy nó tụt mất 4% pin vậy ạ, có bị làm sao ko ạ?",3,0
Mình mua hồi tháng 8 còn 14 490 000 giờ sao giá 19tr vậy bạn. Lúc đó iphone 13 chưa ra nữa.,5,1
"Mới mua chưa được 2 tháng mà pin còn đc 98% nựa chán , sạc ngày 1 lần mà đã vậy.",3,0
"Mình mua ip11 64g, hồi tháng 8 dùng sạc 20w ngày, sạc 2 lần cũng sài kỹ lắm mà dùng cho 4 tháng còn 98% theo quan điểm cá nhân, mình thấy pin thật sự tệ@@",3,0
"Mk mua từ 21/9 đến nay được gần 2 tháng mà dùng sạc feck của iPad chơi game, ngày sạc 4-5 lần vẫn 100% pin ()), khi dùng sạc chính hãng luôn.. Sản phẩm rất tốt.",5,1
Pin 11 cũng ok phết nhưng có điều mua cục sạc 20w ở tại TPHCM về luôn mà sạc 1 tháng pin còn 99%.. Cảm thấy pin 11 khá tệ.,4,1
Mua từ 21/10/2021 mà nay cũng được 1 tháng rồi mà tình trạng pin tụt xuống 99% (!,2,0
"Tôi mua máy từ tháng 01/2021 tới bây giờ là tháng 11.2021 là đã được hơn 10 tháng ( gần 1 năm ) và sau hơn 10 tháng sử dụng tôi có 1 nhận xét như sau: Thứ nhất: Pin cực kỳ trâu, xài những tác vụ như là youtube, youtube, tiktok, zalo, thậm chí lâu lâu tôi còn Edit video mà thường thì tôi xài gần 2 ngày mới phải nạp, ngày xài tầm 4-5 tiếng liên tục, tôi xài hơn 10 tháng rồi mà ko hao tí tình trạng % pin nào, vẫn còn nguyên dung lượng tối đa là 100% pin, chắc tại vì tôi không chơi game.. Thứ 2: sạc pin rất nhanh, thường thì sạc từ 20% - 90% mất có hơn 35p ( dùng đúng cục sạc nhanh mua ở TGDĐ nhé ), từ 90% trở đi thì nó cứ lên từ từ.. Thứ 3: máy rất nhạy thích, dùng vừa tay và nhìn rất sang, xem phim lâu là máy hơi nóng lên 1 tí xong nguội lại ngay.. Còn những điểm hạn chế thì là: máy không có màu Vàng Gold và ko có 3 mắt , và cái Face ID ko hiểu sao mà em gái tui Face ID cũng mở được., biết là do 2 khuôn mặt có nhiều điểm giống nhau hay Face ID có vấn đề nữa .Gọi chung cái IPX này ko có gì để chê luôn á. Thích nhất là pin rất là trâu, dùng hơi bị lâu, máy thì vừa gọn ko quá to, mà mua con này khéo còn ngon hơn nó 12 tuổi 13 ấy chứ. Bạn nào có tầm 18 18 m mà mua con này 20 m, nhớ nhất thiết phải 3 mắt hay đâu.. Con này dùng rất sướng luôn, dùng xong cho 5 sao nhé.",5,1
"Em mua máy được gần 3 tháng mà dung lượng tối đa của pin đã tụt xuống 96% rồi.. (Trong khi em dùng và sạc pin rất quy củ, giữ máy lắm ấy.",3,0
"Em mới mua 11 từ 29/10 được hơn tháng, máy không lỗi lầm gì bây giờ của hàng mua lại được bao nhiêu ạ. Máy mua bên trong lạ.",4,1
"Pin dì hao pin như gì luôn, mua đc 8 tháng pin còn 88%, mang ra test thì kiểu đổi lỗi cho mình, cũng không cần kết nói đưa đi bảo trì chi thôi, chán.",1,0
Máy mới sử dụng 9 tháng nay thấy pin còn 92% vậy có ổn không?.. admin ơi.. Trả lời giúp với: Mới sử dụng iPhone thấy hoang mang quá.,3,0
"Máy nhỏ gọn, vừa tay, pin trâu hơn đời trước, ít chơi game thì xài cũng được cả ngày.",5,1
"Dùng gần 4 tháng, mỗi lần dùng pin rất nóng, mỗi lần sạc pin cũng rất nóng, cầm cảm giác như pin bị phồng lên, có cách nào giải quyết không?",3,0
"Máy chính hãng Apple, bóc seal khi nhận hàng, rất yên tâm khi mua sắm ở ĐMX. Sẽ còn ủng hộ công ty !",5,1
Em mới mua máy đọc hơn 6 tháng mà pin còn có 93% có phải gặp vấn đề về pin ko mà ngày càng tụt nhanh?,1,0
"Ip 11 có hỗ trợ tính năng sạc nhanh, vậy nếu ai dùng củ sạc nhanh để sạc máy thì có ảnh hưởng gì tới pin không?",3,0
Tôi mới mua máy tối hôm qua. Về dùng ko ok lắm. Gọi zalo Facebook rè rè nghe ko rõ.,2,0
Cách khắc phục khi gọi điện điện thoại cứ tắt màn hình thì làm như nào ạ?. Em xin câu trả lời ạ.,5,1
Máy em mua được 15 ngày sao tình trạng pin tụt còn 98% vậy ạ.,2,0
"Mới mua vài ngày thấy xài ok. Pin củng mạnh, dù chỉ 3k1 màn hình cũng không đến nỗi.",5,1
"Cám ơn em Hòa (ĐMX 428 Nguyễn Thị Thập Q7 TPHCM) đã hỗ trợ tận tình khi mình đến mua Iphone 11 và xử lý việc thanh toán qua VNPay rất tốt để mình được giảm giá theo ưu đãi.. Điện thoại chụp ảnh rất đẹp, màn hình đẹp, dù không sắc nét như dòng pro hay 12 nhưng cao cấp, pin lâu, xứng đáng số tiền bỏ ra. Mình thay cho Android do trung tâm thông báo bên Android quá lộn xộn, bên IOS thì gọn gàng và trực quan hơn, dễ kiểm soát.Chúc ĐMX và TGDĐ sẽ có được nhiều khách hàng và nhiều sức khỏe vượt qua mùa dịch.. Hy vọng dịp khác mua hàng được em Hòa tư vấn và hỗ trợ. Xứng đáng cho 5 sao cộng.",5,1
"Điện thoại iPhone 11 em mới mua có 5 tháng sau, pin tuột nhanh quá dậy con co 95 pin em có thể đem ra cửa hàng kiểm tra lại được không?",3,0
"Sử dụng gần 1 tháng rất ok, trước thì 5 - 5 ngày sẽ đánh giá tiếp theo thời gian tới.",5,1
"Phone 11 của em mua đập hộp 100 phần 100 được 1 tuần, em muốn trả lại thì còn khoảng bao nhiêu ạ?",4,1
Máy dễ tróc lớp keo trên camera. Sài cũng ok pin đc sài khoảng 7 tiếng nhân i!,3,0
"..Khi em vừa mua máy ở thế giới di động về em Sài thì âm thanh bình thường, nhưng em tải game về thì vô game không có âm thanh trò chơi, trong khi đó âm thanh trò chơi thì bật hết ai, vậy là bị sao vậy, ăn mong được giải đáp sớm nhất ạ. Xin cảm ơn.",3,0
"Mới mua tra góp hqua. ưu điểm: Pin trâu cam đẹp. K. hài lòng về tin nhắn ấn chữ bị lệch. Chị nhân viên tư vấn rất nhiệt tình và dễ thương, .",4,1
"Mới mua ip11 chạy ios 14.4.2 máy rất nóng và nhanh tuột pin. Khi cập nhật lên ios 15 thì hết tình trạng trên và chạy rất mượt (chia sẻ đến mn), nhân viên PC rất nhiệt tình.",5,1
"Mình đang sử dụng app tiktok thì màn hình tắt rồi tự bật lại là bị sao ạ, add giúp e.!",3,0
"Em vừa mua con 11 ở TTD, dùng đc 1 tuần thì thấy mọi thứ cũng khá ổn, có mỗi độ cảm ứng đôi lúc ko nhạy lắm, soạn tin nhắn hay bị nhảy chữ mặc dù bấm e mà lại hiện u, chơi game có khi bấm ko nhạy. Cho em hỏi như vậy là bị lỗi hay do bản chất con 11 ko nhạy cảm ứng vậy ạ?",3,0
Cho em hỏi sao em vừa mua được 2 ngày nhưng pin nhanh tuột lắm ạ? Thì có được hỗ trợ gì không ạ?,3,0
"Mua đất về tầm chục ngày thì bị hỏng dây sạch, cho hỏi em có được hỗ trợ đổi trả ko ạ?",3,0
Mình mua máy đổi trả ở TP.HCM mà lúc đi cầm người ta báo là máy đã bị bung và thay pin các kiểu là sao vậy nhỉ?,3,0
Mình đang gặp vấn đề về Mic. Tu vấn giúp em với xxxx364031.,3,0
"Hồi mua máy đổi trả nghe mấy chị bán hàng tư vấn, họ nói máy này khách trước mới mua chưa được 1 tháng rồi trả lên đời cao hơn.nên mình nghỉ chắc còn zin 100%..., ai dè về nhà test áp suất máy ko còn chắc bị bung ra rồi.Buồn thật sự.Còn mọi thứ điều khiển wifi hơi chập chờn tự mất.",4,1
Loa bên trái iphone 11 là gì mà ko nghe được ạ? Xin được hổ trợ.,4,1
"Mới mua được 3 ngày mà sạc pin hết 6 lần. Máy nóng, pin tụt lẹ. Mua đi mà chả dám sài để dành pin công việc. Ko biết là lỗi do đâu.",2,0
"Mình mua máy ngày 21.10.2021, hiện tại góc màn hình máy bị kênh lên, như hình mình đính kèm. Cho mình hỏi lỗi này thì có đổi trả máy được hay không?",3,0
"Cho mình hỏi mình mới mua ip11 bên mình lúc trưa. Tối nay mình sạc thì thấy máy bị nóng lên, thế có bị làm sao lạ ?",4,1
"Máy vừa tay, hơi nặng chút. Chơi game tốt và pin trâu, loa ấm và sâu, cam rất tốt. Màn không được sắc nét lắm, 15tr thì vẫn nên mua ip11 để đạt được độ tin cậy cao nhất.",5,1
"Đã mua, rất mượt, pin rất trâu, học online liên tục cả buổi chiều hết 35%, nhưng mỗi tội là dùng rất nhanh, tốn dung lượng, tải có mấy app mà hết tổng 18,19 gb rồi, trong khi con ip6+ của mình 16gb, tải rất nhiều nhưng vẫn trống 4-5gb lận.",5,1
"Mua máy ở hệ thống TGDD và ĐMMM, mình vô cùng tin tưởng luôn. Sẽ giới thiệu người thân mua ở đây.",5,1
"Xài rất ok. Nhu cầu nghe gọi, face, youtobe pin trụ đc cả ngày. Nói chung là ổn. Ko có ji phàn nàn.",5,1
"Máy mua mới đúng 1 tháng, mặc gì sài rất kỉ , sài tới 20% là sạch, canh khoảng 1h30 phút vừa đủ 100% là ngắt điện, nhưng hiện tại thì pin còn 99% , thất vọng.",2,0
"Iphone 11 mới mua được 3 ngày xạc mới 5 lần mà máy nóng như than, khi dùng đến máy vẫn nóng.",2,0
Mua gần 7 tháng chỉ dùng fab gọi điện alo mà sụt pin. Còn 93%. Nản. Trước mua con 7 plus dùng 3 năm mới 90%. Quá chán.,2,0
"Bóc hộp 5 cái mới đươc 1 cái toàn bụi cam, đốm màn thôi, chế độ bảo hành 1 đổi 1 tại thế giới di động tốt, nhiệt tình lúc ra về quản lý có ra xin lỗi mình vì máy lỗi nhiều quá nhưng không sao mình đã chọn được máy như ý.",5,1
#34169284 có giao phú giáo ký ạ: alo alo alo alo alo alo alo apo apo alo alo alo alo alo alo .,5,1
"Buồn. Lúc mua k để ý cam. Chỉ chụp thử, về nhà mới thấy trong cam có hẳn 2 hạt bụi. Mấy thẩm Mỹ quá. Mà k biết còn đổi đc nữa k?",3,0
"Máy nóng, bắt sóng kém, , cảm ứng ko kiểu chữ nhỏ là bấm lệch.chíp ko mạnh.bấm tin nhắn trò chuyện khi chơi game mà bấm thứ 2 chủ nhật mới nổi.Thua máy trung quốc nữa.",2,0
"Mình là 1 tín đồ của iphone xài từ ip4.5.6.8 và giờ là 11, nói chung tuyệt , không có gì để bàn cải.",5,1
Em mới mua iphone 11. Và trong máy chỉ có 1 dây sạc chứ ko có củ xạc kèm theo. Vậy cho em hỏi dây sạc đi kèm iphone 11 hỗ trợ sạc bao nhiêu W ạ?.. Để em mua củ xạc tương ứng.. Rất mong được phản hồi.. Cám ơn!,5,1
Mình mua ip11 xong được tặng 1 cái thẻ Viettel mà nạp lại báo là thuê bao quý khách không được hô trợ mình với!,5,1
"Mình mới mua xong 13/8/2021 sẽ đc giảm giá. Như trên áp giá chưa giảm là 17triệu 490 chỉ được giảm 1 triệu, còn 16490 .",4,1
